DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
ANTIOQUIA,SAN JOSE DEL GUAVIARE,01/11/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,MALAMBO,01/11/19,COLAPSO ESTRUCTURAL,2,0,0,0,0,0,0,0,0
ANTIOQUIA,BALBOA,01/12/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,GUACHUCAL,01/12/19,GRANIZADA,0,0,0,0,1,0,0,0,0
ANTIOQUIA,FUSAGASUGA,01/13/2019,INCENDIO ESTRUCTURAL,0,4,1,0,0,0,0,0,0
ANTIOQUIA,AGUACHICA,01/13/2019,ACCIDENTE TRANSPORTE TERRESTRE,0,8,0,0,0,0,0,0,0
ANTIOQUIA,MANI,01/12/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,600,0,0,0,0
ANTIOQUIA,GRANADA,01/13/2019,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,GRANADA,01/13/2019,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7,0,0,0,0
ANTIOQUIA,GRANADA,01/11/19,INCENDIO ESTRUCTURAL,0,0,1,0,0,0,0,0,0
ANTIOQUIA,EL PASO,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,SAN ALBERTO,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,SAN ALBERTO,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,ANOLAIMA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8,0,0,0,0
ANTIOQUIA,GACHETA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,NEMOCON,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,SIMIJACA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,ZIPAQUIRA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,BOLIVAR,01/14/2019,MOVIMIENTO EN MASA,0,0,0,0,0,0,0,0,0
ANTIOQUIA,INIRIDA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,TELLO,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,90,0,0,0,0
ANTIOQUIA,ISNOS,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
